name,review,rating,date
国家社会主義_JP,"原神でオープンワールドとアクションというもはや唯一無二のソシャゲ最高傑作を作っておいて、スターレイルではエリア探索？ターン制バトル！？

少なくとも私はこれ上手くいくのか？と思っていたが、蓋を開けてみればさすがmihoyoだった…

どうせなら原神と比較して評価していこうと思う。

・ワールド
先述したが原神はオープンワールドでありテイワット大陸を舞台に各国を旅する。オープンワールドの素晴らしさはその自由性であり、国を超えて各地を渡り歩く様子はまさに冒険そのもの。

対して、スターレイルはエリア探索。国の一部の区画をステージとして用意されており自由度は大きく削がれている。
ただ、その分グラフィックが凄まじい。どの場所を見ても光や建造物の表現が緻密で、場所ごとの没入感があるのは間違いなくスターレイルだと感じる。

なので、この点は人による。冒険を重視するならば原神だろうし、より深い没入感を見るならスターレイルだろう。

・バトル面
スターレイルは古き良きターン制バトルでありながらもストレス緩和のために倍速、オート戦闘であるので戦闘面のストレスは体感スターレイルの方が少なめ。
ただ、やはり原神の自由に好きなキャラを動かして戦うというのは、楽しすぎるので楽しさという面では原神の方かもしれない。

加えて、スターレイルはターン制と言いながらも戦闘面のベースが原神なので、通常とスキルとウルトしかコマンドがない。これを単純でわかりやすいというのか、あまりに単調すぎると思うのかで評価は分かれそうだ。
私は現状なんとなく物足りなさを感じる。

・原神の教訓を活かし
原神でここは少し面倒だよねという部分がとことんスターレイルで改善されている。
一々、宝箱や敵からドロップしたアイテムを拾わなくていいし、デイリーは楽だし、樹脂消費も改善されている。こういう細かいところのストレス緩和がかなり素晴らしい。

・最後に
原神もスターレイルも基礎の基礎となる部分は大きく違わないのだが、全く違った体験をさせてくれている。今後この二つの作品がどのように展開されていくのかより一層楽しみである。",4,2023-05-11 23:02:55
yuhina&alice,"開拓レベル40,メインストーリー,サブクエ全攻略済,

高難易度コンテンツ攻略済（模擬宇宙6,忘却の庭15迄）

こんなゲームをずっと求めていました。

無限に広がる大宇宙、まだ見ぬ多種多様な惑星、銀河鉄道に乗って気心の知れた仲間たちと何千何万光年の距離を駆け冒険する。

子供の頃、誰もが一度は考えた事のある夢のようなストーリーが追体験できるゲームです。

このゲームがただのファンタジーRPGとなり得ない点は、宇宙SFの要素を強く感じる点です。

最初に訪れる宇宙ステーションで色々な人の話を聞くと分かりますが、基本的には身の回りの事に起こる事象には科学的な説明がつくものとして話が展開されています。　

人類が恒星間航行を可能とするほど文明が発達し、宇宙まで進出するという「あるかもしれない」未来を想像させ、この部分が没入感を高める非常に重要なポイントになっていると思います。

そこに星神や蒼穹列車、反物質レギオンなど現代の私たちではファンタジー的な要素と思える部分が存在しますが、SFの要素が前提にあることから、0から100までのファンタジーよりも没入感が高く、

SFとファンタジーがうまく調和している作品になっていると思います。

キャラクターに話しかけると世界観について色々と説明してくれますが、チュートリアルから序盤は難解な単語が多々出てくるので、話半分の理解で大丈夫です。

固有名詞についてはストーリーにおいて大事な部分は同じ話が何度か繰り返されるので、何となく理解できてきます。

お話が難しいからと諦めてしまうのは非常に勿体無いので、ぜひ崩壊スターレイルの世界観とストーリーを体験してほしいです。",5,2023-05-05 22:17:09
調弦理論,"リリース初日から、現在開拓64、メインストーリー現在リリース分全クリ済

良いところ

グラフィックが良い上に動作があまり重くないのがまずすごい。ここはさすがhoyoverseと言ったところ。

キャラも良い。ビジュが本当に良い。最高。その上設定も信じられないくらい細かく練られてちゃんとキャラデザに落とし込まれていて感動するレベル。あとみんな声が良い。声優陣豪華すぎる。これで開拓クエストと同行クエストと一部イベントはフルボイスなのヤバすぎ。耳溶ける。

ストーリーが良い。王道なところを最大限ダイナミックに、感動的に見せてくる。グラフィックの良さがここで生きてる。クオリティの良さで殴られている感じで素直に熱くなれる。あとBGMが神。サブクエ系はメインと雰囲気違ってコメディ強めのもの、逆にすごいしんどいもの、泣けるものもあって楽しい上に設定チラチラ開示してくれるのが良い。

世界観が良い。いい意味で果てが見えない感じがたまらん。個人的に星神まわりの壮大さがとても好み。今はまだ3つの世界しか行けないがそれでも多種多様な魅せ方で、今後もこの規模で他の世界を探索できるのが楽しみ。あと崩壊シリーズの他のゲームやってる人はいろんな場面でニヤニヤできる。

文章量が大変多い。もちろん良い意味で。国語の授業中に勝手に教科書の後ろの方のコラムとか読んでた人にはかなり刺さると思う。ゲーム内書籍を読んでなくてもストーリー面白いけど読み込んでると更に感動できると思う。

不満点を挙げるとしたら、軌跡の素材要求分に対してのドロップ率が低いところくらい。以前にドロップ量2倍イベントがあったがあれくらいがで適正だと思う。常設にしてくれないかな☺️

色々書いたが総じて神ゲーだと思ってるので⭐️5で",5,2023-08-11 00:51:22
アンチ暴走のアンチ,"たぶんだいぶやりこんでる側の開拓者です。現在のストーリーは実装分終わり、宝箱も開け、サブクエも日を跨ぐもの以外は終わっています。模擬宇宙はレベルアップ待ち、原神でいう螺旋も勝てるギリギリまで攻略してます。

ゲームのレビューというよりは何となくレビューを読んでいて「それは違うよ！」と思ったところを訂正していきたいと思います。なおまだリリース初期ということをご理解ください。

ターン制で弱点属性もありキャラゲー、乙。
→やっていったらわかるんですがダメージが上がるんじゃ無いです。ゲージが削れるだけです。削ったらなんかいいことがあります。無視して火力で殴ってもあんまり変わりません。頭使えば大丈夫。

UIがダメ
→思ったこと無い。ただ名称に漢字が多いので中学生は難しいかも？スキルとかは右側なのに必殺技は左なのはおかしいって指摘。自分のターン以外にも打てるものを一緒にまとめて置くってどゆことよ。スマホのタッチ操作にもあわして大きさの担保も必要なんだぞ！

ストーリースキップできない
→Excelで数値減らすマクロターン制ゲーム作って遊んでどうぞ。ロープレでスキップ？まあ、あったらいい人もいるかも知れんが……いる？

ガチャが渋柿
→はい、そうです。このゲームは星5必須じゃ無いので天井まで引いてください。天井はガチャ変わっても引き継ぐので長くやってたらおけ。

フィールドスキルが微妙、使わない
→これ螺旋用。シンボルエンカウントが２つ出る時にどっちに何使うか頭使うもの。もちろんフィールドの強気な敵に使ってもよき。

初期ってこともあってまだまだ評価落ち着いてないけど、みんな一ヶ月くらいは遊んでみようね。グラ○ルも100レベまでやれっていうだろ？",5,2023-05-02 01:15:37
とあるナナシビト,"原神とスターレイル、2つのゲームを楽しんでいる者です。

(原神冒険ランク60、スターレイル開拓レベル65)

事前情報を調べずにとりあえず始めてみた個人の感想としては、面白く長く続けられるゲームです。

「第1印象そんな好きなキャラではなかったけれど、いつのまにかそのキャラが好きになっていて仲間になってほしくなる(ガチャが引きたくなる)、その為にデイリーやイベントを頑張ろう」と思える不思議なゲームです。キャラクターを魅力的に見せるストーリー展開が上手です。

・星5でなくても星4キャラも軌跡強化、覚醒をしてあげると強くなってくれるので育成が楽しいです。好きなキャラなら凸してあげると更に能力が向上します。

メインストーリー時は自分の仲間キャラのみでの戦闘ですが、素材回収等の戦闘は先達開拓者様の強いキャラをサポートに呼ぶことができるので初心者のうちは助かると思います。

原神と違いターン制の戦闘であったり、探索時歩けるフィールドに制限がありますが特に不満を感じません。オート戦闘、大変助かります。

▼メインストーリー

現状ヘルタ、ヤリーロ、羅浮の3つでメインストーリーがありますが、キャラに愛着が持てないと若干長く感じるかもしれません。途中戦闘やおつかいイベントが発生するのでスイスイ進められないと思います。

▼レベルの上がり具合

毎日3〜5時間ほどゲームをやる感じだと開拓レベル65到達に2ヶ月ほどかかりました。(原神の冒険ランク60到達まで1年半強)

デイリーや模擬宇宙、イベント等コツコツこなすことで貯めることが出来ます。ガチャに必要な星玉もここで集まります。

▼ガチャ

・原神、スターレイルはログインボーナスがゲーム内にはなく、ホヨラボ(別アプリ)や公式ページにあるので注意です。予告番組のシリアルコードはゲーム内で知ることが出来ません。

無課金で運が良い方だと思うのですが、限定ガチャはこの2ヶ月ほどで星5キャラを6人お迎えすることが出来ました。(うち2回すり抜け)恒常ガチャは星5キャラは3人です。

原神と比べると比較的星５が出やすい気がします。運が良いと10連、30連(〜80連)で来てくれたりもしました。

・光円錐(武器)ガチャは引いていないのでわかりません。",5,2023-08-16 03:40:35
ぴのーり,"24時間遊んだ感想です
開拓レベル33、星5は2人ストーリーはまだ途中です

【ガチャ】
ガチャチケ配布やストーリー進めれば石配布が結構多いので石が少なくて困ることは無いと思います
それと原神と全て同じガチャシステムなので無課金でも半年やり続ければ最低でも星5キャラ6人は引けるんじゃないかなと思ってます
やり込めば一日に10連は確実に引けます

【ストーリー】
ストーリーは最初知らない単語の連続で日本語かわからなかったけど
名詞の意味を解説してくれる場所があるので困ったらそこを見ればわかります
ただ説明が長いのに今は不明みたいなとこが所々あります
ストーリー進めるとその部分が少し明らかになったのでだんだんわかってくるのかなと思ってます
翻訳はちゃんとしてます
中華ゲーの広告のガバガバ翻訳みたいなことは先ず無いです

【ターン制バトル】
自分はめちゃくちゃ楽しいです
これはやってみないと自分に合うか合わないか分からないと思います
ターン制バトルって大抵テンプレの繰り返しなのですが敵次第で攻撃の仕方も変わるので飽きないです

【探索】
自分が開けた宝箱の数やギミックの数が表示されるので全回収がめちゃくちゃ楽です
街歩いてるとキャラからメッセージが来たり歩いてたら今まで出会ってきたキャラがいるみたいな事があってめちゃくちゃ楽しいです
ギミックも簡単で苦痛になるとこはないです
それとマップの画質良すぎて歩き回ってゴミ箱漁ったりするのもめちゃくちゃ楽しいです
例えば列車の天井の照明がクジラの形になってたり
キャラの部屋をよく見るとそのキャラの性格にあった謎の生活感があってめちゃくちゃ好きです

最初そこまで興味ない人は惹き込まれにくいですが
いざやってみればすごく楽しいのでおすすめです",5,2023-04-29 15:13:53
クルドラ,"RPGにおけるお使いが少ないのはいいのですが、
物語読みたいのにレベル規制や最低限の火力しかボスが挑めないレベル制限が脚引っ張っていると思います。原神で言えば世界ランク2で50クラスがギリギリ
戦闘は最近流行りのパワーアーマー(削らないと攻撃が通らない今式型のRPGです)原神と違いMMOではないターン制のRPGです。

RPGの割にはキャラクターが強くなっていく面白みがあまり欠けていて結局作業感が多い傾向だと思いました。(筆者はアナデン、ペルソナ経験者です)
倒しても経験値は貰えない雑魚倒す必要性が素材集めしか無い(MMOと RPG間違ってない？)
捨てキャラとか出てきそうな予感

★防具はもちろん厳選ありのハクスラ要因
MMOだよね？
★迷宮(ローグダンジョン)強制
カードとアイテムを集めて強敵を撃破せよ
→強制ではなくてサブのミニゲームでいいと思います崩壊サードも任意でしたし....
→RPG要素どこいった？
第3世界のボスはやりすぎだと思いました。

★2章は倒しても復活するモブが出てきます
攻撃のみ、技は全体と単体　必殺技だけ防御とかターンスキップができないのでカウンターされても殴るゴリ押しゲーになってる、技封印されたら状態異常はその対応しているキャラでしか治せない(アイテム使って対処なんて出来ない)

回復アイテムは全体回復できる装置がいっぱいあるのでRPGで瀕死時、街に帰るときにスライムに襲われてHPなくて全滅って無いのでほぼ空気
RPG下手な人だと途中で飽きてしまうと思います。
キャラ、天賦、カードがあるのに要求素材が多い？オープンワールドではないのに？

いちいち雑魚倒したり制限かかってるボスを再戦及び中ボスをスタミナを削って倒さないと行けない但し雀の涙程です。課金誘導だと思いますがスタミナ上限値が極めて低いですね。

4人PTなので盾役と回復役と攻撃役と補助役しか無いので戦略がなかなか難しい(全体得意と単体得意とデバフとバフできるキャラが限られてる為)そこに属性もあるので自由なPT、自分で考えたビルドができない

近いうちのこのキャラいないとクリアできないとかソシャゲあるあるの持ち物検査やりそうですね

★ATディレイが無いので行動順がずっと敵だけ俺のターンになって全滅する。

あと悔しいのか知らないですがHP多い割には各フェーズ毎で毎回即死級全体攻撃をやるのはやめて頂きたいです。本当にRPG好きなんですか？って疑問に思えました。開発者だけ悔しいだけですよね？こっちは楽しく無いです♪

まだサービス開始してから間もないので改善されていくのを期待します。それ以外は素晴らしいです♪",3,2023-05-06 10:56:12
おたさまはたやた,"ゲーム内容はカジュアルです。課金圧を感じるかもしれませんがこれはソロゲームなので無理な育成を強いられることはないでしょう。スキルも大味で効果が山ほどあるコマンドバトルと違ってゲーム慣れしてない方にはオススメできます。

個人的に残念だったのがストーリーが難解すぎたことです。専門用語から専門用語が出てくるような感じで、これは多くの人が感じたと思います。翻訳が上手にできていないのかとも思いました。

また音楽もわたしはあまり評価できませんでした。また舞台が宇宙ですが普通に人や街がステージで出てきて、あまり宇宙の良さを感じられませんでした。神秘的な惑星や謎に満ちた生態系などを期待していました。

★5の理由はグラフィッククオリティと洗練されたUIなどを評価させて頂きました。わたしは既にこのゲームを削除しましたが、このクオリティが無料なのは凄いです。有料版販売してキャラは遊べば誰でも手に入るとかにして欲しかったなと思いました。まあそれだと利益があれですもんね...

アンインストールしたわたしがあれこれ言うのもなんですが、今後のアプデではキャラクターの新スキル要素解放などで戦闘により多くの選択肢を増やしてユーザーの体験の向上させたらどうかなと思います。

他のユーザーさんも求めることが色々あると思います。その分伸び代があると思います。ここの運営さんなら実現出来ることも多いかと思いますので、今後も期待できるタイトルであることに間違いはないでしょう。

わたしはゲームに楽しさを求めておりこのゲームにはそれをあまり感じることができなかった為、削除しましたが、人それぞれ求めていることは違うのと何より無料で体験することができるのでレビューよりぜひご自身で遊んで判断なさってください。",5,2023-04-27 02:39:16
あるぱか♀,"今出てるストーリー、クエストを終えて現在開拓レベル42。
原神をプレイしているので、概ね戦闘以外は原神とシステムは一緒なのですぐ理解できました。
ガチャは激渋ではありますが、救済措置がある為、他のゲームよりよっぽど親切だと思います。天井ありの90連で星5確定、恒常も300連で星5が1体確定など。
まぁシステム辺りは他の方も書いてるので割愛しますが…
自分がきついと思ったのはストーリー、というか三月なのかというキャラクター
原神でいうパイモン的な案内役なのかずっとストーリーについてくるのでストーリー読む上でストレスにしかならない。
かわいい見た目で誤魔化せると思ってるのか、翻訳が悪いのか？とにかく文句ばっかり言うのが鼻につく。
とにかく出てきた女の悪口から始まる典型的嫌な女になってしまってる。
特に2つ目の星、新しい女キャラが出てくる度に「なにあの女」「あんな女についてきたくない」等の口悪い発言。
あとはネタバレになりますが、1つ目の星のボス倒した後の空気読めなさ…。人の母親倒しといて慰めの言葉もなく「良かったね！」発言…サイコパスか？？？
細かい所ではありますが、常に主人公についてくるキャラとして魅力がない…
元気っ子！ムードメーカー！なのは分かりますが、わざわざ口悪くさせたりする必要あるのかなぁと疑問です。今のところわがまま自己中キャラでしかないです。かわいいところ見た目くらい。
常についてくるキャラじゃなきゃ我慢できますが常についてくるのでこれからもずっとメインのストーリーに関わってくるのかと思うと進めるのが嫌ですね…
それ以外は素晴らしい、原神やってたので遺物集めとかも苦じゃないし、他のキャラは素敵だし、ストーリーも先が気になるのでそこだけがストレス。これ以降のストーリーでなのかが喋るなら、あの女呼ばわりとか、すぐわがまま言うところとか直して欲しいです…。",3,2023-05-23 22:26:23
もーぐり蹰,"そりゃ日本のメーカー勝てんわ・・・
金かけすぎ、グラクオリティ高すぎ。
最近の乱造ポチポチソシャゲとはクオリティが違いすぎますわ。
やる気が違いすぎる。

戦闘システム
・ターン制RPGをソシャゲ用にめちゃくちゃ簡略化した感じ。簡略化したからといって手抜きな訳ではなく、ソシャゲなのでとっつき易さを重視したと思われ
る。
・オート戦闘もあるが、よっぽどレベル差がなければかなりあっさりやられるので放置はほぼ無理。

探索パート
・オープンワールドではなく、昔ながらのJRPGに近い。
・シンボルエンカウントで強敵や通常の敵にもPT推奨レベルが表記されたり、強敵との戦闘はシナリオ進行に関係なくし、回避できる等初心者に優しい作りになっている。
・シナリオ上の戦闘不可避のボスも育成サボらなければ配布で十分勝てる仕様になっている。

シナリオ
・気合い入ってる。気合い入りすぎて設定凝りすぎて若干用語が複雑怪奇になってる。これに関しては分かり易さはない。
・シナリオをじっくり読んでもらいたいのだろうオートスキップ等ないので、最近の日本のソシャゲに慣れたCSのRPGが苦手な人は苦痛だと思う。でもフルボイスだから頑張って！

総評
最近のソシャゲが好きな人からすればめんどくさいゲーム、CSのゲームでシナリオ重視の人とかJRPGが好きな人なら多分ハマれる。
どちらかと言えば腰を据えてやるゲームだし、その点は原神に近い。
当然ガチャが渋かったり、集金要素も勿論あるが、マルチもないし、シナリオ進行上は今のところ配布で十分なのでわりと良心的。
総合的に考えるとCSとソシャゲの丁度中間みたいな作りになっているため、CSしかやらない勢には刺さらないし、ソシャゲしかやらない勢にも刺さらないと思われる。
個人的には刺さったし、クオリティ自体は高いので、長く続けばいいなと思う。

ほんとに金かけてるのがわかるし、【面白いゲーム】を作って儲けてやるというのがわかる。
日本のソシャゲメーカーは一部を除き【面白いゲーム】という部分を捨て去ってしまったメーカーが多いのでほんと考えを改めて欲しいなぁ。
せめてただ作ってリリースしましたとかじゃなく、もうちょいヤル気を見せてほしい。",5,2023-05-02 18:27:21
