name,content,score,at,appversion
Suqi Toolie,Enjoying the game.,5,2023-08-21 17:12:25,1.8.0
Mhike Amparado,Fun and exciting,5,2023-08-21 17:12:01,1.8.0
Tracey Faithfull,Fun. Good can play people around world and with friends.,5,2023-08-21 17:10:29,
Erica Stillion,Love it,5,2023-08-21 17:07:37,1.8.0
Jodi Bishop,Thus game is amazing! But the bad thing about it is you cannot trade gold cards which you should be able to do. Other than that there are no ads and it's a very addicting game I do recommend!,5,2023-08-21 17:07:04,
victor Famiyesin,Lovely,5,2023-08-21 17:05:16,1.8.0
Emily Lack,It's very odd how similar to board kings this is! I get Monopoly is an OG board game but board kings had it set up just like this in their app. Love me some Monopoly though. I'll just play both!,5,2023-08-21 17:04:50,1.8.0
Daniel Beaupre,You have to spend alot of money to get good prizes,3,2023-08-21 17:04:03,1.8.0
Brittany Whalen,Jjj,5,2023-08-21 17:03:29,1.8.0
ony raza,I love this game!!!,5,2023-08-21 17:02:03,1.8.0
Permila stalin Permila stalin,Very nice game,5,2023-08-21 16:56:10,1.8.0
Kyndal,I love this game,5,2023-08-21 16:53:20,1.8.0
Joshua Dunmore,"Love it, it's just like playing the board game",5,2023-08-21 16:51:31,1.8.0
Rachel Mann,Fun,5,2023-08-21 16:51:15,1.8.0
Sham Bam,Needs a way to turn off the animations and opening ads they are way too long and i end up just switching to tiktok and i click the weekly deals anyway making openingall 17 of them everytime i open the app pointless and aggravating,3,2023-08-21 16:49:10,1.8.0
Myron Alexander,Is fun and addicting especially with friends,5,2023-08-21 16:49:08,1.8.0
Michael glazer jr,Love it play game mgo,5,2023-08-21 16:47:14,
Akhilesh Saravanan,Scam,1,2023-08-21 16:46:23,
Ijam Nizham,1 whole hour just to get 5-8 rolls? Finished board wasting almost 1.8billion just to get 50dices? Come on man,1,2023-08-21 16:43:12,1.8.0
Jillian Cruickshank,Great game,5,2023-08-21 16:40:46,1.8.0
John Firth,"Interesting take on old game. Revenge smashing good. A few things are frustrating, like loosing all hotels for 1 spin wheel and get only 5 dice or 2 useless stickers. Difficult to get some 5 star stickers and can't trade golden ones...",4,2023-08-21 16:40:28,1.8.0
Annie Thrush,I love it,5,2023-08-21 16:40:07,1.8.0
Adrian Cartill a,Nc,4,2023-08-21 16:35:55,1.8.0
Angelo Haylom,"This Game Is...Amazing I Love It! Building Towns, And More! Their Ads Didn't Lie About All This, FUN!",5,2023-08-21 16:32:35,1.8.0
Fon Randy,Really awesome,4,2023-08-21 16:29:06,1.8.0
Meikato Crk,Mantap,5,2023-08-21 16:25:04,1.8.0
Steve Osment,"Fun and addictive! New here, so we'll see how it goes !",4,2023-08-21 16:23:50,1.8.0
syawani azhan,okaylah,5,2023-08-21 16:22:19,1.8.0
SHANU NAIR,Love it 😀,5,2023-08-21 16:21:46,1.8.0
Chanelle Coetzee,I love it,5,2023-08-21 16:19:49,1.8.0
Dawayne Raines,Same stickers it's crazy it is getting old fast,1,2023-08-21 16:14:36,1.8.0
Lila Johnson,Love it,5,2023-08-21 16:11:22,1.8.0
Fanica-Laura Lolot,"I played the game installed from Swagbuck, reach Board 8 and I did not receive any SB. For bord 5 I should receive 100 SB.",1,2023-08-21 16:10:32,1.8.0
jeremie Bransley,top,5,2023-08-21 16:10:03,1.8.0
jan b,Love it 😀,5,2023-08-21 16:08:32,1.8.0
GAME MASTER Evil,Love it,5,2023-08-21 16:06:57,1.8.0
Sampai Sandah,Really interesting game,5,2023-08-21 16:04:05,1.8.0
WeInDa “TuffKevBrawls” StReEtSFrFr,Rly good brotha👍,4,2023-08-21 16:02:09,1.8.0
Ben Northon,Fun game . And make level stress up haha,5,2023-08-21 15:59:39,1.8.0
sis short,"it's a great game but i think a room for improvement is that the part where we collect tokens on the tiles, currently it's the flag one. i think when the timer runs out and one has collected so much of it yet didn't have enough time to complete the course, i think it would be great if you compensate those extra tokens with something like money or dice rolls as it would be very devastating for someone to collect so much but end up couldn't achieve the reward due to time constraints.",3,2023-08-21 15:55:11,1.8.0
Jane Lancaster,Why didn't Stanley get his 100 rolls .I only joined because he invited me,3,2023-08-21 15:54:57,1.8.0
Vincenzo,"Zero strategy... you only roll and collect. It's a well polished, boring, money grab.",2,2023-08-21 15:54:51,1.8.0
Osbs Ndiwbd,Its gun,5,2023-08-21 15:47:36,1.8.0
Lyssa Edwards,Good,5,2023-08-21 15:46:25,1.8.0
